"CTRL_0"	"CTRL_1"	"CTRL_2"	"CTRL_3"	"CTRL_4"	"CTRL_5"	"CTRL_6"	"CTRL_7"	"CTRL_8"	"LUTS_0"	"LUTS_1"	"LUTS_2"	"LUTS_3"	"LUTS_4"	"LUTS_5"	"LUTS_6"	"LUTS_7"	"LUTS_8"
"ACAD10"	294.694	0.701213	0	220.563	172.484	358.677	185.019	42.8858	5.90897	51.02	119.69	0	0	1594.13	211.553	114.217	103.65	0
"ACAD11"	5.23568	190.193	0	230.703	211.496	3.83424e-12	888.093	45.8889	66.7074	288.207	128.316	4.45541	182.136	87.4493	91.5177	0	0.22159	0
"ACAD8"	423.343	663.348	0	278.028	395.699	164.992	2064.43	290.53	21.42	65.0944	35.5834	0	159.682	0	25.4883	549.497	172.037	3048.41
"ACAD9"	2.99182	81.3407	37.7599	202.817	136.731	112.087	1966.08	154.305	230.45	398.777	169.83	8.62276	2.49503	116.599	207.942	262.561	208.368	520.861
"ACADL"	0	0	0	0	0	0	43.8204	0	5.17035	0	0	0	0	0	0.637208	0	131.432	0
"ACADM"	1264.04	796.578	1.98736	99.7181	1314.65	364.954	196.705	719.808	2198.14	584.091	174.143	4403.35	5823.39	0	565.628	4255.99	855.913	0
"ACADS"	0	359.021	0	164.788	52.1801	0.896693	167.491	168.179	0.738622	221.673	0	0	396.709	1.82186	139.336	128.146	113.267	7429.12
"ACADSB"	29.9182	356.918	268.294	205.352	78.2702	206.239	49.6631	175.327	184.655	632.178	297.067	4.31138	117.266	20.0405	180.33	174.112	500.084	2419.72
"ACADVL"	1544.53	3097.96	4012.49	1414.65	1573.62	1116.38	3587.43	1680.95	1964.73	1069.66	1285.85	3906.11	4074.38	2767.41	2186.26	3094.31	2874.41	3865.34
"ACAN"	0	0	0	0	0	0	0	0.420449	0	0	0	0	0	0	0	0	0	0
"ACAP1"	239.346	0	5.96209	54.9295	35.2699	57.3884	4.86893	52.5561	64.2601	444.519	121.846	2.87425	588.826	0	153.992	32.733	79.0731	0
"ACAP2"	2768.18	1891.17	2315.28	1898.87	2619.15	1707.3	932.888	1482.92	2954.49	1952.25	2003.45	982.994	3448.13	1583.2	2336.22	1929.16	1431.86	8299.05
"ACAP3"	156.323	16.8291	0	40.5633	93.2478	0	0	128.237	51.7035	2.93218	41.5139	0	87.326	0	111.087	144.861	273.55	0
"ACAT1"	0.747955	28.0485	1.98736	168.169	505.857	669.83	0	72.7376	190.564	392.912	8.62627	1355.21	0	710.526	199.871	36.9117	317.361	0
"ACAT2"	611.827	7.01213	0	163.943	210.17	15.2438	2152.07	100.487	67.9532	313.157	65.7753	17.2455	0	0	171.834	270.221	158.146	0
"ACBD3"	1011.24	2094.52	3163.88	1408.73	1303.54	1093.07	4279.79	1358.47	1014.13	1768.11	1531.7	8.62276	626.252	2811.13	1942	1672.17	1040.77	3600.34
"ACBD4"	2.24386	130.426	0	45.6337	86.4837	8.07024	1.94757	8.40897	104.146	7.03724	1.07828	1.43713	32.4354	1251.62	33.772	128.843	30.9881	166.31
"ACBD5"	202.696	495.758	4201.29	879.717	630.51	514.702	0	540.277	689.873	472.081	341.277	0	386.729	2250	826.671	360.76	449.862	107.827
"ACBD6"	185.493	2.80485	0	2.53521	142.529	98.6363	0	148.418	31.0221	222.259	0	0	0	0	61.5967	0	118.61	0
"ACBD7"	65.0721	38.5667	622.045	82.8168	43.9666	104.913	16.5544	78.2035	68.6918	78.5825	21.5657	395.21	27.4453	27.3279	67.3316	23.6792	76.936	383.792
"ACCS"	0	0	0	0	0.483149	0	0	0	0	0	85.7236	0	0	0	45.6665	0	1.06856	0
"ACCSL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACD"	19.4468	0	5.96209	146.197	0	192.789	0	7.14763	171.36	0	120.229	0	1145.22	0	84.961	110.039	54.4963	0
"ACE"	207.184	0	0	76.0562	1126.22	1.79339	0.973787	299.78	33.238	864.994	0.539142	0	0	0	220.899	0	13.8912	0
"ACE2"	16.455	568.684	0	0	73.9218	0	0	165.236	503.001	0	79.793	0	207.087	149.393	23.3643	411.6	115.404	0
"ACER1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACER2"	6.73159	89.0541	77.5072	100.563	66.1914	495.871	71.0864	146.737	2.95449	1246.76	0.539142	0	706.093	1976.72	33.5596	276.489	1197.85	0
"ACER3"	439.05	843.56	21.861	551.83	990.456	569.4	1011.76	673.559	996.401	536.003	472.289	252.934	47.4055	14.5749	948.165	626.802	397.503	5011.23
"ACHE"	0	697.006	47.6967	251.831	422.272	0	0	242.599	834.643	9.38298	416.218	1099.4	2350.32	2062.35	50.7642	2874.24	1516.28	0
